Index,TimeThreshold,VolThreshold,sp,sn,tn,fp,tp,fn
102,11,0.2,0.8824577026,0.2231145251,6937,924,639,2225
103,11,0.3,0.7856506806,0.4022346369,6176,1685,1152,1712
104,11,0.4,0.6458465844,0.5893854749,5077,2784,1688,1176
105,11,0.5,0.5068057499,0.7266061453,3984,3877,2081,783
106,11,0.6,0.3991858542,0.8187849162,3138,4723,2345,519
107,11,0.7,0.3156087012,0.875,2481,5380,2506,358
108,11,0.8,0.2504770385,0.9130586592,1969,5892,2615,249
109,11,0.9,0.1999745579,0.9322625698,1572,6289,2670,194
110,11,1,0.1616842641,0.9465782123,1271,6590,2711,153
111,12,0.1,0.9403846154,0.1110723018,7335,465,318,2545
112,12,0.2,0.8988461538,0.1973454418,7011,789,565,2298
113,12,0.3,0.8073076923,0.3688438701,6297,1503,1056,1807
114,12,0.4,0.6734615385,0.5525672372,5253,2547,1582,1281
115,12,0.5,0.5365384615,0.7010129235,4185,3615,2007,856
116,12,0.6,0.43,0.7953195948,3354,4446,2277,586
117,12,0.7,0.34,0.8574921411,2652,5148,2455,408
118,12,0.8,0.2708974359,0.8976597974,2113,5687,2570,293
119,12,0.9,0.2185897436,0.9221096752,1705,6095,2640,223
120,12,1,0.1767948718,0.9392245896,1379,6421,2689,174
